monitor_id;monitor_description;date;time;nox;no;no2;lat;long;location;year;month;day;hour;minute;day_of_week,
6;fishponds;2017-12-04;0001-01-01T23:28:45-00:01;22;5;17;51.478;-2.5352;51.478, -2.5352;2017;4;12;23;30;4
6;fishponds;2017-04-13;0001-01-01T05:13:45-00:01;57;22;34;51.478;-2.5352;51.478, -2.5352;2017;4;13;5;15;4
8;parson st;2017-07-04;0001-01-01T09:28:45-00:01;160;101;59;51.4327;-2.605;51.4327, -2.605;2017;4;7;9;30;5
3;Brislington;2017-06-04;0001-01-01T22:13:45-00:01;38;14;24;51.4417;-2.56;51.4417, -2.56;2017;4;6;22;15;5
8;parson st;2017-05-04;0001-01-01T20:43:45-00:01;20;8;11;51.4327;-2.605;51.4327, -2.605;2017;4;5;20;45;3
8;parson st;2017-01-22;0001-01-01T19:13:45-00:01;154;98;55;51.4327;-2.605;51.4327, -2.605;2017;1;22;19;15;0
10;wells road;2017-01-24;0001-01-01T03:43:45-00:01;114;91;23;51.4279;-2.5637;51.4279, -2.5637;2017;1;24;3;45;2
3;Brislington;2017-01-23;0001-01-01T00:28:45-00:01;100;58;41;51.4417;-2.56;51.4417, -2.56;2017;1;23;0;30;1
6;fishponds;2017-01-25;0001-01-01T07:43:45-00:01;229;158;70;51.478;-2.5352;51.478, -2.5352;2017;1;25;7;45;3
3;Brislington;2017-02-18;0001-01-01T01:28:45-00:01;14;4;9;51.4417;-2.56;51.4417, -2.56;2017;2;18;1;30;6
